stop_name,latitude,longitude
Ernakulam North,9.9652,76.2861
Ernakulam South,9.9486,76.2814
MG Road,9.9826,76.2995
Kochi Fort,9.9563,76.2758
Vyttila,9.9753,76.2846
Shanthi Nagar,9.9325997,76.2993299
Parana Bus Stop,10.1350271,76.3112219
Sasthammugal,9.9531189,76.3899537
Kuppethazham,9.9390558,76.4185065
Kochangady,9.9337278,76.42336
Tondanpara,9.9437003,76.4008187
Vandipetta,9.9418814,76.4105592
Valavu,9.9397164,76.4133365
Vennikkulam,9.9472484,76.3953604
Labour Corner,9.9778726,76.3342102
Edappally Toll,10.02805,76.3110503
Vypin,9.973546,76.244141
Palli,10.1395161,76.1990351
KMK Junction,10.1445191,76.2264466
Moothakunnam Bus Stop,10.1887554,76.2019783
Thiruvankulam Junction,9.9432581,76.3739987
Cherukunnam,10.1015078,76.5416684
Nangelipadi,10.0697318,76.6021079
Confident ATIK III,10.0730236,76.3991994
ChanganChira,10.0936438,76.5042864
peechinammukal,10.0918794,76.5100934
Thevara Ferry,9.926013,76.3043657
Karavatte Kurish,9.9015568,76.3929721
Thuppampady,9.9137798,76.4120149
Thalacode,9.9206603,76.4086044
Vettikkal,9.9145949,76.4214193
Ration Kada,10.213116,76.3992118
Karingachira,9.9516908,76.3583345
Railway Station,9.9468775,76.3532115
Koovapadam,9.9520508,76.2537227
Koovapadam,9.9519841,76.2524456
Paravana Mukk,9.9520508,76.2557319
Kappalandi Mukk,9.9519132,76.2576994
Pipeline Junction,10.0051815,76.3128361
Ernakulam Medical Centre,9.99898,76.3138595
Ernakulam Medical Centre,9.999015,76.3140901
Menaka,9.9780238,76.2770264
Ernakulam South,9.9680734,76.2880821
Vaduthala Valavu,10.0189006,76.2750339
Don Bosco,10.0140145,76.2768412
Vaduthala Gate,10.0131716,76.2767579
Lourde's Hospital,10.0065637,76.2782977
Lourde's Hospital,10.0066916,76.2784226
Pachalam Junction,10.0012646,76.2795898
Pachalam Junction,10.0014412,76.2792621
Ayyappankavu,9.9959899,76.2805729
Kaloor,9.9941308,76.291962
KSRTC Bus Station,10.1449925,76.2317568
Chakkamarassery Bus Stop,10.1674294,76.2130069
Nayarambalam,10.0717346,76.2119072
Vedimara,10.1484765,76.2447257
Chendamangalam Junction,10.1489359,76.2350714
Mannam,10.1464052,76.2532494
Paarappuram,10.1458867,76.2570175
Karichira,10.1333306,76.2751358
Purapillikavu,10.1308355,76.2875338
Thattampady,10.1311535,76.2825317
Marottichuvadu,10.1319667,76.2793374
Karumaloor,10.130257,76.2931177
,10.1206148,76.5562147
Sub Station,9.9629622,76.3183249
Koonammavu,10.1005014,76.2639074
Manjaly Akkara,10.1506466,76.2683658
Civil Station,10.1488947,76.2304841
Vai padi,10.0397032,76.3007241
Chendamangalam Junction,10.1496989,76.2349266
NGO Quarters,10.0212159,76.3346249
Valappu,10.0145846,76.2277549
Perumalppadi,10.0254731,76.2236733
High Court Junction,9.9834606,76.2742889
Thevara,9.950119,76.2920811
Ravipuram,9.9591537,76.2889962
"Medical Mission, കോലഞ്ചേരി",9.9793518,76.4762765
Panikkarupadi,9.9551555,76.3960273
poikkattussery bus stop,10.1684934,76.3402155
Priya Hospital Bus Stop,10.1752426,76.3304103
janathi junction bus stop,10.2073931,76.32194
Moozhikulam,10.1881616,76.328169
"Prasad Traders, Sehiyon Jn, Kokkunnu, Mookkannoor",10.2351956,76.4189009
Kakkadassery,9.9974668,76.599311
Thettaly,10.1307559,76.3902447
Kaipra,10.1320525,76.3996667
"Plappilly Kavala Bus Stop, Neeleeswaram Mundangamattom Road",10.1903408,76.4764861
Pazhamthottam,10.0170702,76.4284047
Gandhipuram,10.1223671,76.3668073
Nayathod Junction,10.1858129,76.3973712
Kunnatheri Junction,10.0811722,76.3482038
Kondotty,10.1282229,76.3725752
Purayar,10.1280053,76.3692844
Chembumukku,10.0112954,76.3220488
"Thottumugham , Aluva",10.1100516,76.3724534
Aattupuram,10.1775036,76.3033311
Ayroor School,10.1768565,76.30661
Oozhan Kavala,10.1770615,76.309303
Andipillikavu,10.1780796,76.2109011
Madaplathuruth,10.1787139,76.2086774
Paravoor Kavala,10.1186635,76.3433064
Onampilly,10.1668326,76.461265
Chegamanad,10.1534743,76.3400561
Palapprassery,10.1558501,76.3309535
Chunkam,10.1567508,76.3265014
Sunday School,9.9485965,76.5497541
Mavelipuram Junction,10.0226946,76.3412911
Mavelipuram Junction,10.0231787,76.3411396
HMT Junction,10.0552166,76.322055
HMT Junction,10.054649,76.3218929
Hospital Junction,9.9717809,76.2822201
Chirattapalam,9.9607346,76.2429257
Njaliparambu,9.963287,76.2431075
Mattancherry,9.9587012,76.2599008
Moothakunnam,10.1890702,76.2015464
KMK Junction,10.1452545,76.2267346
KMK Junction,10.1446931,76.2277819
tharayil kavala,10.1845758,76.1939753
shap padi,10.174715,76.2999907
Munambam Ferry,10.1829987,76.173772
Ambattukavu,10.080671,76.3392534
Cheranelloor Signal,10.0622019,76.2881063
Naalam Mile,10.1145735,76.2596751
Millupadi,10.1218792,76.2546248
Khandakarnan veli,10.1274256,76.2434247
Vazhikulangara,10.1341612,76.2400735
Kochal,10.1124944,76.2603016
Varapuzha,10.0786023,76.2750767
Kunnukara,10.1551268,76.2952168
Thelathuruth,10.1538024,76.2736708
Chalakka Schoolpadi,10.1549379,76.2798837
Kuttiyal,10.1561889,76.311397
Janatha,10.1209644,76.1991859
Edavanakad Palli,10.0827527,76.2096157
Ayyampilly,10.1264174,76.1983488
Aniyal,10.0790683,76.2105579
ATH,10.066506,76.2129234
Njarackal,10.0472547,76.2172102
AEO Office,10.0874239,76.2085846
Municipal Junction,10.1480679,76.2247396
Paravur Market,10.1500428,76.2206028
Vadakkumpuram,10.1792057,76.2262735
Bharanimukku,10.1688454,76.2344303
Municipal Junction,10.1485661,76.2262959
Kannankulangara,10.151366,76.2233285
Vedimara,10.1487134,76.2441192
Municipal Junction,10.1489153,76.2242163
Paravur Market,10.1511017,76.220324
Kuriyapilly,10.1868815,76.2030536
Thekkethazham,10.1500494,76.2633743
Makkanayi Junction,10.1496737,76.2551481
SNGIST,10.1498733,76.2672131
St. Aloysious,10.1506347,76.2183894
Manjumel Kavala,10.0580774,76.2907347
Jose Junction,9.9672944,76.2862212
Aalummaav,10.1617599,76.2143399
,10.1842757,76.2046224
Parayakad Junction,10.1655295,76.2133643
Thuruthipuram,10.171766,76.2120104
Andipillikavu,10.1781491,76.2109918
Thelathuruth,10.1536822,76.2736147
St Theresas College,9.9752779,76.2785881
Edappally Junction,10.0250912,76.3073159
Kunnumpuram,10.0432261,76.2990611
Petta,9.9501413,76.3318944
Champakkara,9.9547213,76.327585
Vytilla Junction,9.969624,76.3179598
കപ്പേള,10.1781641,76.2218837
SN Road,10.1782737,76.2162594
കൊച്ചങ്ങാടി,10.1783334,76.218652
Kunnumpuram,10.0434863,76.2986487
Aluva Police Station,10.1029556,76.3584376
Thrikkunnathu Seminary,10.1030366,76.3557487
St Alberts College,9.9852674,76.279563
Ramalloor bus stop,10.0767076,76.6294483
Menaka,9.9776802,76.2769397
Ksrtc Bus Stop,10.0538972,76.7744132
Athani,10.1565933,76.354767
നെടുമ്പാശ്ശേരി എയർപോർട്ട് ബസ് സ്റ്റാന്റ്,10.1579846,76.3921868
Medical Trust Hospital,9.9631683,76.2879719
Hill Palace,9.9519381,76.3613205
Vadakkekotta,9.9530533,76.3404853
Manorama Junction,9.9659299,76.2952354
Edappally Lulu,10.0281091,76.3099185
Kodikuthmala,10.0814506,76.3644444
Tower Line Bus Stop,10.029747,76.2545572
Moolampilly,10.0415239,76.2627983
Mulavukadu Toll,10.0107693,76.2580991
Bolgatty,9.9910377,76.2648026
Chakkamadam Bus Stop,9.9564416,76.2570915
Kunnumpuram,9.9640554,76.2456927
Vathimattom,10.0568213,76.4568369
Bank Junction,10.058933,76.4594366
Chelakkulam,10.0515189,76.4492134
Jai Bharath College,10.0540438,76.4530939
Bhandarakkavala,10.043435,76.4485546
Double Paalam,10.030529,76.4488305
Kummanod,10.0387971,76.4501526
Kadayirippu Bus Stop,10.0015346,76.4582844
Engineering College Bus Stop,10.010888,76.455643
Patham Mile Bus Stop,9.974028,76.447603
Vilangu,10.0506459,76.4274615
Millumpadi Bus Stop,10.0211429,76.4285542
Njaralloor Bus Stop,10.0358702,76.4231032
Njaralloor Bus Stop,10.0338015,76.4300655
Pancode Junction,10.0051176,76.44011
Pulinchode Junction,10.0074969,76.4419958
Iruppachira,9.999387,76.440958
Ashramam Bus Stop,9.982756,76.442353
Muri Vilangu Bus Stop,10.060019,76.41962
Chemmalappady Bus Stop,10.056808,76.410661
Molekkurish Bus Stop,10.0366621,76.4162776
Sevana Padi,10.040359,76.413688
Kizhakkambalam,10.0363469,76.4080082
Achappan Kavala,10.030862,76.408022
Morakkala Church,10.017612,76.4022274
Pailimukk Bus Stop,10.010967,76.410359
Peechingachira,9.9895643,76.4094615
Rajashree Kavala,9.9859156,76.4117488
Kollappady,9.9903452,76.4209181
Bible College Jn Bus Stop,9.96585,76.412663
Pannikuzhy,9.973352,76.417762
Varikoli,9.963609,76.407106
Pukkattupady,10.059481,76.3953945
Wonderla,10.0283562,76.3932956
Manakkakadavu Toll,10.0294759,76.3855902
Pallithazham,10.0296291,76.3897504
Padathikara,10.0012286,76.3944375
Padathikkara Thuruth,10.007602,76.378181
FACT Club,9.9843969,76.3955826
Harimattam Ambalam,9.9858864,76.3919432
Ambalamedu Post Office,9.9836258,76.3892634
Kuzhikkad,9.9779433,76.3849696
Chakku Company,9.9945697,76.396456
Panikkarupady Bus Stop,9.955282,76.396004
HOC,9.9707313,76.3810613
Cochin Refinery,9.9691994,76.3783832
Jwalagiri,9.9754332,76.3813003
Kuzhivelippady,10.0492144,76.3719935
Infopark,10.015181,76.3635859
Kollanpady,9.9565995,76.3655254
Makaliyam,9.9626114,76.3578975
IOC,9.9635121,76.3742254
Irumpanam Puthiya Road,9.9569239,76.358295
Chitrapuzha,9.959266,76.3671193
HMT Machine Tools,10.049139,76.3405265
HMT Colony,10.0544913,76.3550784
Median,10.0484109,76.3363118
Judgemukku,10.0352989,76.3339983
Vallathol Padi,10.03625,76.337898
Ambadimoola,10.0218242,76.3379308
Akashavani Junction,10.012932,76.3416197
CSEZ,10.0061491,76.345066
Kuzhikattumoola Palli,10.0155226,76.3550279
Chittethukara,10.0017206,76.3495854
Adarsha Junction,10.0038264,76.3470014
Palachuvadu Junction Bus Stop,10.000212,76.33416
Chittethukara,9.9982299,76.3507222
Rajagiri,9.9955514,76.3516064
Indian Oil,9.9826107,76.3524657
Vettikkavu,9.9770592,76.3539899
BPCL,9.979512,76.3532007
Mathoor Junction,9.9730249,76.3364359
Azad Junction,9.9582171,76.3431309
Kadathu Kadavu,9.9749361,76.3545653
Puthiya Road Junction,9.9653368,76.3401917
Illikkappady,9.970773,76.3376072
Pottayil,9.9623991,76.3413903
Govt ITI,10.0538987,76.3280142
CUSAT Main Office Bus Stop,10.044268,76.324638
South Kalamassery,10.0490468,76.3190748
Pathadipalam,10.0381928,76.3154373
Koonamthai,10.0332828,76.3129139
Club Junction,10.027596,76.3156074
Thykkavu,10.0318049,76.3218034
University Ground Bus Stop,10.039102,76.327803
Aarow Global Business Solutions,10.010064,76.311152
Padivattom,10.0076352,76.3158601
Pipeline Junction,10.0045621,76.3132997
Vazhakkala,10.0126008,76.3266293
Colony Junction,10.0134851,76.3305745
Padamugal,10.0141336,76.3328697
Satellite Bus Stop,10.007597,76.332995
Vennala School Junction,9.9959111,76.3256509
Vaishali,9.9874521,76.3160497
Kappattikavu,9.981507,76.332219
Puthiya Road Bypass Junction,9.9926588,76.3151349
Kuthappady,9.9829168,76.3126223
Anjumuri,9.9806411,76.3132987
Puthenkulangara Shiva Temple,9.9834288,76.3310033
Thykoodam,9.9590607,76.3183817
Sub Station,9.9633059,76.3190876
OEN,9.9609871,76.3218673
Janatha Bus Stop,10.2308298,76.4176713
Mubarak,10.0334945,76.4480786
Vadakara Bus stop,9.8778444,76.5762329
Thuruthiply Bus Stop,10.085888,76.4812912
Palakkal,10.1261314,76.3159161
Alangad Junction,10.1293779,76.2995476
Malikampeedika,10.127615,76.308801
Valyappanpadi,10.1265076,76.3252052
,10.1855832,76.3212422
manjikkad,10.2453254,76.42439
Irattakinar Bus Stop,10.2339946,76.4202843
Palli Kavala,10.1087397,76.4582467
NAD Kavala,10.0696578,76.3856327
KMEA,10.0523499,76.3823012
Punchayath Junction,10.0503396,76.3773508
Thevakkal,10.0463714,76.3637024
Mundampalam,10.036633,76.3439786
Kunjattukara,10.0653482,76.3899502
,10.1535039,76.3735
Kurumbathuruth Kadav,10.183152,76.2249309
Edayar,10.0875047,76.3030481
Panayikulam Junction,10.102027,76.301386
Paathalam,10.0778348,76.3184345
Chellackappady Bus stop,9.8726232,76.5658695
FACT Market,10.0740635,76.3074406
Polakandam Market,9.9394969,76.2555685
To fort kochi,9.9473851,76.2445041
Edappally Toll,10.0299901,76.3109525
Karuvelippadi,9.9414492,76.2557946
To fort kochi,9.9459152,76.2496512
To fort kochi,9.9458868,76.2473239
Amaravathi,9.9573702,76.2424165
Kunnumpuram,9.9652903,76.243579
Shanthi Nagar,9.932311,76.298925
Kallath Temple,9.9365648,76.3097486
Kundanoor Junction,9.9375468,76.3178674
Vyttila Junction,9.9681034,76.3180316
Chakkaraparambu,9.989384,76.3155185
Kannadikadu,9.9493056,76.3182144
Mythri,9.9127626,76.4083346
Pambayi Moola,9.9121396,76.2936563
Kangarappady,10.0425877,76.3545074
Kangarappady,10.04284,76.3546549
Pashnithodu Palam,9.9134871,76.2827682
Pashnithodu Palam,9.9133704,76.2826692
Pambayi Moola,9.9121149,76.2935586
Pambayi Moola,9.9127528,76.2917441
CT Office,10.0675322,76.2127081
Company Peedika,10.0008625,76.2346635
MES Collage,10.1544196,76.2890899
Pallathamkulangara,10.1099691,76.2025502
Cheruvaippu Junction,10.1135417,76.2016195
Gowreeswaram,10.1333736,76.1960939
Padma,9.98074,76.2831629
Companypady,10.0795359,76.5842566
Erumalappady East,10.0802567,76.5789802
Erumalappady West,10.0806082,76.575663
Erumalappady Canal,10.0824355,76.5735602
Nellikuzhi,10.0760877,76.5936883
Nellikkuzhi Canal,10.0725759,76.5973666
Rado Tyres,10.0702402,76.6049618
Elambra Pallippadi,10.0693138,76.6067681
Taluk Hospital,10.065804,76.6182947
Nellikuzhi Panchayat,10.0774089,76.5905544
Pachupilla pady,10.089906,76.5659213
Kalmbadamthondu,10.0986381,76.547588
Cherukunnam,10.1005377,76.5400522
Nadakkavu,9.8979466,76.3693632
Puthuvype,10.0036646,76.2332627
Puthuvype,10.0043519,76.2328216
Valappu,10.0147926,76.2275184
Company Peedika,10.0007003,76.234858
Malippuram Paalam,10.0188416,76.2256224
Malippuram Paalam,10.0187084,76.2257818
Veliyatham Parambu,10.0567263,76.2151785
CT Office,10.0676877,76.2125859
Thayyezhuth Vazhi,10.0756353,76.2113508
Aniyal,10.0791786,76.2104453
Edavanakad Palli,10.082715,76.209693
KPMHS,10.085335,76.209023
KPMHS,10.0852632,76.2091039
AEO Office,10.0875106,76.2084925
Pazhangad,10.0910289,76.2077132
Pazhangad,10.0905406,76.2077736
Vaachakkal,10.0938299,76.2068353
Vaachakkal,10.0936806,76.2069611
Illathupadi,10.0991779,76.2053817
Illathupadi,10.0993352,76.2052665
Kuzhuppilly,10.10253,76.2043416
Kuzhuppilly,10.1023903,76.2044586
Kuzhuppilly Vadakekkara,10.1043654,76.2038093
Kuzhuppilly Vadakekkara,10.1045339,76.2038545
Pallathamkulangara,10.1098017,76.2026446
Cheruvaippu Junction,10.1134364,76.2017507
Perumalppadi,10.0250513,76.2239077
Elamkunnapuzha,10.0305633,76.2219472
Elamkunnapuzha,10.0307343,76.2219897
Perumpilly,10.0356491,76.2205424
Perumpilly,10.0361177,76.2202792
Hospital Junction,10.0409724,76.2190011
Hospital Junction,10.0419123,76.2187302
Njarackal,10.0466791,76.2174375
Mampilly,10.048835,76.2168632
Mampilly,10.0488549,76.2169362
Maanattuparambu,10.0529277,76.2153837
Veliyatham Parambu,10.0567833,76.2150498
Kudungasseri,10.0596219,76.213991
Kudungasseri,10.0596311,76.2140667
Kochambalam,10.0632687,76.2131392
Kochambalam,10.0633606,76.2132047
ATH,10.0664302,76.2128566
Nayarambalam,10.0721065,76.2117953
Ayyampilly,10.1261624,76.1983233
Palli Hospital,10.1157282,76.2008458
Palli Hospital,10.115544,76.2010495
Janatha,10.1206757,76.1994262
Vadakekkara,10.117625,76.2000972
Ramavarma,10.1282817,76.1977626
Ramavarma,10.1282337,76.1978319
Gowreeswaram,10.1323847,76.1963925
Devaswam Nada,10.1392946,76.1948071
Devaswam Nada,10.1387686,76.1944881
Goshree Junction,9.9824079,76.2414167
Goshree Junction,9.9820921,76.240686
Murikkumpaadam,9.99025,76.2389909
Murikkumpaadam,9.9901588,76.2391089
Vadakekkara,10.1178715,76.2001813
Palli,10.1396021,76.1991468
Perumpadanna Bridge,10.1431903,76.2120193
Perumpadanna Bridge,10.143157,76.2123319
Perumpadanna,10.1438874,76.2167223
Perumpadanna,10.1437566,76.216514
Prabhus,10.1441584,76.2202308
Prabhus,10.1441,76.2205598
High Court,9.9839186,76.2737822
High Court,9.9839945,76.2739735
Bolgatty,9.9914302,76.2650321
Vallarpadam,9.985853,76.2510874
Vallarpadam,9.9862147,76.2511868
Sea Food,9.9866353,76.2402138
Sea Food,9.9869027,76.2402648
Boat Jetty Junction,9.9736589,76.2810595
Elamkulam Junction,9.9676489,76.3049747
Elamkulam Junction,9.9678782,76.3050171
Vaduthala Valavu,10.0189779,76.2751375
Kurishupalli,10.0171602,76.2762154
Kurishupalli,10.0172296,76.2761217
Don Bosco,10.0140504,76.2767365
School Muttam,10.0103156,76.2301519
School Muttam,10.0101016,76.2301332
Thekkan Malippuram,9.9950081,76.237088
Thekkan Malippuram,9.9948414,76.2373217
Cherai Bridge,10.1409528,76.203369
Cherai Bridge,10.14089,76.2034965
Vallarpadam Junction,9.9870786,76.2537046
Vallarpadam Junction,9.9868419,76.2535664
Aluva KSRTC Stand,10.1062524,76.3562001
Goshree Junction,9.9818807,76.2410691
Panikkaru Padi,9.9782814,76.2409844
Panikkaru Padi,9.978214,76.2409247
Devaswam Nada,10.139907,76.1941055
Karuthala,10.14487,76.1914713
Karuthala,10.1447607,76.191638
Bakery,10.1483005,76.1901874
Bakery,10.1484834,76.1902565
SMHSS,10.1509628,76.1899346
SMHSS,10.1507716,76.1899181
Kothakulam,10.1259156,76.2374776
Kothakulam,10.1260845,76.2374499
North Paravur,10.1495163,76.2317707
,10.0458459,76.2208205
,10.0457694,76.2207791
Manjanakkad,10.0466117,76.2319811
Nedungad Palli,10.0689154,76.2231879
Janatha,10.1564617,76.1873997
Janatha,10.1566726,76.187481
Kolothumkadavu,10.1607058,76.1844289
Kolothumkadavu,10.1609551,76.1843798
Convent,10.1641333,76.1829519
Convent,10.164368,76.1829478
Pallippuram Palli,10.1667395,76.1814967
Pallippuram Palli,10.1668551,76.1813872
Police Station,10.1690155,76.1805388
Police Station,10.1687822,76.1807646
Angaadi,10.1706596,76.1787975
Angaadi,10.1707732,76.1790015
Mani Bazar,10.1714303,76.1774149
Mani Bazar,10.1712003,76.1773992
Beach Road,10.1748594,76.1752079
Beach Road,10.1743158,76.1759077
Ayyaar Valavu,10.1801797,76.1720955
IR Valavu,10.1802576,76.1724213
Mahilappadi,10.123501,76.2387995
Mahilappadi,10.123653,76.2388447
Pukkaad,10.0307663,76.2391666
Thekke Naaluvazhi,10.1404953,76.2294122
Kanjirakkad,10.1266778,76.4731791
,10.1156557,76.4818259
Civil Station,10.1175072,76.4802381
Kalady Junction,10.116796,76.4759331
Kolancheri Kavala,10.113796,76.4755196
KSRTC,10.1950542,76.3861334
Companypady,10.0886248,76.3435051
Manthrakkal Junction,10.0882451,76.3460805
Railway Station,9.9468433,76.3533759
Shenoys,9.9768053,76.2852792
Puthiyakavu Valavu,9.9238681,76.3567448
Valiyakulam,9.9063352,76.3671886
Vattolipady Bus Stop,10.1132053,76.5085817
MBITS Bus Stop,10.0581649,76.6713033
,10.0583102,76.6701607
,10.0580923,76.6687025
